Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,wRC,BsR,Fld,Off,Def,WAR,ADP,playerid
Jeimer Candelario,DET,146,627,548,139,33,3,19,74,75,67,138,6,1,1,0.253,0.338,0.429,0.767,0.332,111,-0.6,-4.7,7.5,-2.3,2.7,243,13621
Spencer Torkelson,DET,130,525,459,119,23,2,29,72,77,52,110,7,5,2,0.259,0.341,0.506,0.847,0.359,129,-0.3,0,18,-11.2,2.5,255.2,sa3014504
Javier Baez,DET,141,601,557,136,28,3,26,71,82,30,182,8,13,5,0.244,0.291,0.446,0.736,0.312,97,1.2,-3.4,-1.1,3.6,2.3,62.8,12979
Jonathan Schoop,DET,141,623,574,151,28,2,23,76,77,33,128,9,2,1,0.263,0.31,0.44,0.751,0.322,103,-0.4,-3.5,2.1,-4.7,1.9,194.8,11265
Akil Baddoo,DET,143,614,540,130,24,6,17,75,63,60,151,4,20,7,0.241,0.32,0.407,0.727,0.315,99,1.1,1.1,0.1,-5,1.6,172.5,22168
Robbie Grossman,DET,139,620,524,125,25,3,17,77,62,81,134,7,15,5,0.239,0.346,0.396,0.742,0.325,106,-0.9,-1.3,3.5,-9.3,1.5,181.6,5254
Tucker Barnhart,DET,87,345,304,69,16,1,7,34,32,31,81,4,1,0,0.228,0.306,0.349,0.654,0.288,80,-1.1,2.8,-9.3,10.1,1.4,372.2,10200
Riley Greene,DET,52,210,189,49,8,2,7,25,26,16,53,2,3,1,0.261,0.325,0.444,0.77,0.33,109,-0.1,0,2.2,0.9,1,314,sa3010694
Victor Reyes,DET,63,259,241,64,11,3,5,28,27,13,56,2,6,2,0.265,0.305,0.399,0.703,0.303,91,0.1,-0.3,-2.8,-1,0.5,571.6,15487
Eric Haase,DET,67,277,251,55,10,1,13,31,36,20,89,2,1,1,0.22,0.282,0.425,0.707,0.302,90,-0.2,-0.4,-3.5,0,0.3,273.1,14111
Isaac Paredes,DET,18,71,62,16,3,0,2,8,8,7,11,1,0,0,0.257,0.339,0.414,0.753,0.327,107,-0.1,-0.2,0.5,0.1,0.3,598.4,20036
Derek Hill,DET,49,196,179,43,6,2,4,21,19,12,53,2,5,2,0.239,0.293,0.372,0.665,0.289,81,0,-1,-4.5,-0.2,0.2,999,16947
Daz Cameron,DET,39,158,141,33,7,1,4,17,17,12,41,2,4,2,0.236,0.304,0.395,0.699,0.304,91,0,-0.5,-1.7,-1.9,0.2,999,18353
Willi Castro,DET,16,66,60,15,3,1,2,7,7,4,15,1,1,1,0.253,0.303,0.398,0.701,0.303,90,0,-0.3,-0.8,0.1,0.2,491.4,17338
Jake Rogers,DET,15,58,52,10,2,0,2,6,6,5,19,1,1,0,0.204,0.283,0.379,0.662,0.288,80,-0.1,0.3,-1.5,1.6,0.1,600.8,19452
Dustin Garneau,DET,12,47,42,9,2,0,2,5,5,4,13,1,0,0,0.21,0.284,0.389,0.673,0.292,83,-0.1,-0.1,-1.1,0.9,0.1,999,9433
Ryan Kreidler,DET,6,26,24,6,1,0,1,3,3,2,7,0,0,0,0.245,0.304,0.396,0.7,0.303,91,0,0,-0.3,0.3,0.1,999,sa3010587
Zack Short,DET,8,32,28,6,1,0,1,3,3,3,9,0,0,0,0.209,0.304,0.368,0.673,0.296,86,0,0.1,-0.6,0.4,0.1,999,19562
Kody Clemens,DET,10,39,36,9,2,0,1,4,4,2,9,0,0,0,0.236,0.288,0.402,0.69,0.296,86,0,0,-0.7,0.2,0.1,999,sa3008002
Harold Castro,DET,44,180,169,45,7,1,2,17,16,8,39,1,1,1,0.265,0.299,0.355,0.654,0.285,79,-0.1,0.1,-4.8,-0.5,0.1,596.4,14691
Miguel Cabrera,DET,122,527,474,121,20,1,17,59,64,44,122,5,1,0,0.256,0.322,0.407,0.729,0.316,100,-3.3,-0.5,-3.6,-13.8,0.1,482.1,1744
Cole MacLaren,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.225,0.31,0.348,0.658,0.292,83,0,0,0,0,0,999,sa3011402
Francis Dingler,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.228,0.278,0.385,0.662,0.286,79,0,0,0,0,0,999,sa3014528
Dane Myers,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.242,0.292,0.393,0.685,0.296,86,0,0,0,0,0,999,sa915708
John Valente,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.264,0.307,0.368,0.674,0.294,84,0,0,0,0,0,999,sa3006923
Andrew Navigato,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.233,0.291,0.357,0.648,0.283,77,0,0,0,0,0,999,sa3010703
Andre Lipcius,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.239,0.297,0.366,0.663,0.289,81,0,0,0,0,0,999,sa3010401
Eric De La Rosa,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.23,0.286,0.365,0.651,0.283,77,0,0,0,0,0,999,sa3006911
Braden Policelli,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.207,0.266,0.332,0.599,0.262,63,0,0,0,0,0,999,sa918279
Eliezer Alfonzo,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.235,0.272,0.329,0.601,0.263,63,0,0,0,0,0,999,sa3003262
Kerry Carpenter,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.248,0.295,0.403,0.698,0.3,89,0,0,0,0,0,999,sa3010689
Daniel Pinero,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.22,0.292,0.34,0.632,0.279,74,0,0,0,0,0,999,sa738204
Jon Rosoff,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.213,0.275,0.306,0.581,0.258,60,0,0,0,0,0,999,sa3007635
Jacob Robson,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.235,0.315,0.361,0.675,0.298,87,0,0,0,0,0,999,19528
Joshua Lester,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.226,0.283,0.42,0.703,0.3,89,0,0,0,0,0,999,sa658811
Daniel Cabrera,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.232,0.275,0.385,0.66,0.283,78,0,0,0,0,0,999,sa3014452
Cameron Gibson,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.22,0.293,0.35,0.643,0.282,77,0,0,0,0,0,999,sa659281
Gage Workman,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.205,0.249,0.321,0.571,0.248,54,0,0,-0.1,0,0,999,sa3014441
Dylan Rosa,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.221,0.27,0.371,0.641,0.277,73,0,0,0,0,0,999,sa3004285
Christopher Proctor,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.192,0.245,0.287,0.532,0.235,45,0,0,-0.1,0,0,999,sa3007062
Cooper Johnson,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.179,0.247,0.263,0.51,0.23,41,0,0,-0.1,0,0,999,sa3010584
Wenceel Perez,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.215,0.258,0.293,0.551,0.242,50,0,0,-0.1,0,0,999,sa3003326
Jake Holton,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.217,0.276,0.345,0.62,0.272,69,0,0,0,0,0,999,sa3010599
Parker Meadows,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.196,0.246,0.302,0.548,0.241,49,0,0,-0.1,0,0,999,sa3007943
Austin Murr,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.216,0.271,0.318,0.589,0.26,62,0,0,0,0,0,999,sa3016967
Colten Keith,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.205,0.255,0.283,0.538,0.239,47,0,0,-0.1,0,0,999,sa3014474
Bryant Packard,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.205,0.256,0.324,0.58,0.254,57,0,0,-0.1,0,0,999,sa3010590
Trei Cruz,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.176,0.245,0.249,0.495,0.224,38,0,0,-0.1,0,0,999,sa3014420
Eduardo Valencia,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.179,0.216,0.254,0.47,0.208,26,0,0,-0.1,0,0,999,sa3006622
Colby Bortles,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.181,0.24,0.271,0.511,0.228,40,0,0,-0.1,0,0,999,sa874213
Carlos Mendoza,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.2,0.241,0.265,0.506,0.224,38,0,0,-0.1,0,0,999,sa3008944
Gresuan Silverio,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.165,0.215,0.234,0.449,0.201,22,0,0,-0.1,0,0,999,sa917004
Kingston Liniak,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.181,0.222,0.276,0.498,0.219,34,0,0,-0.1,0,0,999,sa3007020
Corey Joyce,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.186,0.231,0.259,0.49,0.217,33,0,0,-0.1,0,0,999,sa3010596
Reynaldo Rivera,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.185,0.234,0.337,0.571,0.247,53,0,0,-0.1,0,0,999,sa918552
Jose King,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.188,0.226,0.264,0.49,0.216,32,0,0,-0.1,0,0,999,sa917184
Carlos Irigoyen,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.183,0.217,0.241,0.458,0.203,23,0,0,-0.1,0,0,999,sa3005745
Benjamin Malgeri,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.195,0.235,0.289,0.524,0.23,41,0,0,-0.1,0,0,999,sa3016975
Alvaro Gonzalez,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.18,0.226,0.244,0.471,0.211,28,0,0,-0.1,0,0,999,sa3005715
Cristian Santana,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.159,0.199,0.23,0.429,0.191,15,0,0,-0.1,0,0,999,sa3015697
Ulrich Bojarski,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.178,0.216,0.271,0.487,0.214,30,0,0,-0.1,0,0,999,sa3004381
Adinso Reyes,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.164,0.188,0.228,0.416,0.183,10,0,0,-0.1,0,0,999,sa3008750
Esney Chacon,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.179,0.223,0.254,0.477,0.212,29,0,0,-0.1,0,0,999,sa3003267
Christopher Meyers,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.182,0.221,0.281,0.502,0.22,35,0,0,-0.1,0,0,999,sa3016956
Pedro Garcia,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.143,0.176,0.202,0.378,0.168,0,0,0,-0.1,0,0,999,sa3005762
Danuerys De La Cruz,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.141,0.171,0.204,0.375,0.166,-2,0,0,-0.1,0,0,999,sa3007059
Carlos Pelegrin,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.15,0.185,0.233,0.418,0.184,11,0,0,-0.1,0,0,999,sa3015238
Jesus Bolivar,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.157,0.19,0.226,0.415,0.184,10,0,0,-0.1,0,0,999,sa3008923
Abel Bastidas,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.149,0.188,0.196,0.385,0.173,3,0,0,-0.1,0,0,999,sa3015709
Jimmy Mojica,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.153,0.182,0.219,0.401,0.177,6,0,0,-0.1,0,0,999,sa3003260
Frank Veliz,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.159,0.184,0.208,0.392,0.174,3,0,0,-0.1,0,0,999,sa3003257
Martin Olivas,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.144,0.175,0.214,0.389,0.172,2,0,0,-0.1,0,0,999,sa3005737
Jose De La Cruz,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.156,0.19,0.241,0.432,0.19,14,0,0,-0.1,0,0,999,sa3008747
Yoneiry Acevedo,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.154,0.18,0.2,0.379,0.168,0,0,0,-0.1,0,0,999,sa3005909
Lazaro Benitez,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.157,0.187,0.233,0.42,0.185,11,0,0,-0.1,0,0,999,sa3008819
Iverson Leonardo,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.154,0.186,0.227,0.412,0.182,9,0,0,-0.1,0,0,999,sa3005766
Adonis Figuereo,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.149,0.183,0.22,0.403,0.179,7,0,0,-0.1,0,0,999,sa3005758
Jose Reina,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.146,0.178,0.21,0.389,0.172,3,0,0,-0.1,0,0,999,sa3005911
Cesar Calderon,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.159,0.187,0.223,0.41,0.181,8,0,0,-0.1,0,0,999,sa3009344
Pedro Martinez,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.144,0.174,0.211,0.385,0.17,1,0,0,-0.1,0,0,999,sa3005797
Yoan Bravo,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.143,0.187,0.188,0.375,0.17,1,0,0,-0.1,0,0,999,sa3008829
